title,price_raw,price,is_negotiable,date_raw,date,category_path,level1,level2,level3,level4,region,city,district,link
TANIE KONTENERY Kontener składany socjalny budowlany magazynowy,7 350 zł,7350,False,Odświeżono dzisiaj o 07:20,2026-05-05,Firma i Przemysł > Kontenery > Kontenery mieszkalne/biurowe,Firma i Przemysł,Kontenery,Kontenery mieszkalne/biurowe,,Wielkopolskie,Wojnowice,,https://www.olx.pl/d/oferta/tanie-kontenery-kontener-skladany-socjalny-budowlany-magazynowy-CID4269-ID17pMj6.html?search_reason=search%7Cpromoted
"Linde H18T-01 rok 2017 Triplex 4,62 m",29 000 złdo negocjacji,29000,True,Odświeżono dzisiaj o 05:15,2026-05-05,Motoryzacja > Budowlane > Wózki widłowe,Motoryzacja,Budowlane,Wózki widłowe,,Wielkopolskie,Skrzatki,,https://www.olx.pl/d/oferta/linde-h18t-01-rok-2017-triplex-4-62-m-CID5-ID19Yspe.html?search_reason=search%7Cpromoted
"Rower szosowy Trek 2.5 Alpha, rozmiar 54 cm (170–180 cm)",1 699 zł,1699,False,Odświeżono dnia 04 maja 2026,2026-05-04,Sport i Hobby > Rowery > Rowery szosowe,Sport i Hobby,Rowery,Rowery szosowe,,Mazowieckie,Marki,,https://www.olx.pl/d/oferta/rower-szosowy-trek-2-5-alpha-rozmiar-54-cm-170180-cm-CID767-ID16slrT.html?search_reason=search%7Cpromoted
Zestaw uszczelek gaznika do Fiata 126p,50 zł,50,False,Odświeżono dzisiaj o 15:28,2026-05-05,Motoryzacja > Części samochodowe > Osobowe,Motoryzacja,Części samochodowe,Osobowe,,Łódzkie,Koluszki,,https://www.olx.pl/d/oferta/zestaw-uszczelek-gaznika-do-fiata-126p-CID5-IDSNsDR.html?search_reason=search%7Corganic
Oslona dzwigi zmiany biegów polonez,60 zł,60,False,Odświeżono dzisiaj o 15:28,2026-05-05,Motoryzacja > Części samochodowe > Osobowe,Motoryzacja,Części samochodowe,Osobowe,,Łódzkie,Koluszki,,https://www.olx.pl/d/oferta/oslona-dzwigi-zmiany-biegow-polonez-CID5-IDBZ17q.html?search_reason=search%7Corganic
Renault Scenic 3 1.4 130KM benzyna 2011 rok,14 999 zł,14999,False,Dzisiaj o 15:28,2026-05-05,Motoryzacja > Samochody osobowe > Renault,Motoryzacja,Samochody osobowe,Renault,,Wielkopolskie,Poznań,Winogrady,https://www.olx.pl/d/oferta/renault-scenic-3-1-4-130km-benzyna-2011-rok-CID5-ID1aw3TJ.html?search_reason=search%7Corganic
Sterownik Moduł VECU DAF XF 106 Euro 6 2176060 PACCAR,1 150 zł,1150,False,Dzisiaj o 15:28,2026-05-05,Motoryzacja > Części samochodowe > Dostawcze i Ciężarowe,Motoryzacja,Części samochodowe,Dostawcze i Ciężarowe,,Lubuskie,Kargowa,,https://www.olx.pl/d/oferta/sterownik-modul-vecu-daf-xf-106-euro-6-2176060-paccar-CID5-ID1aw8IJ.html?search_reason=search%7Corganic
Plyn do plukania,22 zł,22,False,Dzisiaj o 15:28,2026-05-05,Dom i Ogród > Supermarket > Środki do prania,Dom i Ogród,Supermarket,Środki do prania,,Małopolskie,Skawina,,https://www.olx.pl/d/oferta/plyn-do-plukania-CID628-ID1aw8IG.html?search_reason=search%7Corganic
"After the Funeral Agatha Christie, książka w j. angielskim",20 zł,20,False,Dzisiaj o 15:28,2026-05-05,Muzyka i Edukacja > Książki > Literatura,Muzyka i Edukacja,Książki,Literatura,,Wielkopolskie,Poznań,Grunwald,https://www.olx.pl/d/oferta/after-the-funeral-agatha-christie-ksiazka-w-j-angielskim-CID751-ID11UMTg.html?search_reason=search%7Corganic
Osłona pokrywa silnika AUDI S7 S6 C7 4.0 TFSI V8,400 zł,400,False,Dzisiaj o 15:28,2026-05-05,Motoryzacja > Części samochodowe > Osobowe,Motoryzacja,Części samochodowe,Osobowe,,Łódzkie,Tomaszów Mazowiecki,,https://www.olx.pl/d/oferta/oslona-pokrywa-silnika-audi-s7-s6-c7-4-0-tfsi-v8-CID5-ID1aw8Fr.html?search_reason=search%7Corganic
